City,Region,Year,N_Sensors,N_Events,Mean_Spacing_km,Std_Spacing_km,Min_Spacing_km,Max_Spacing_km,Theoretical_LB_km
Berlin,EU,2022,17,7,4.665,3.527,0.638,12.656,4.665
Berlin,EU,2023,17,9,4.665,3.527,0.638,12.656,4.665
Berlin,EU,2024,16,8,4.833,3.569,0.638,12.656,4.833
Lisbon,EU,2022,16,7,4.197,2.602,1.111,9.218,4.197
Lisbon,EU,2023,16,8,4.197,2.602,1.111,9.218,4.197
Lisbon,EU,2024,16,8,4.197,2.602,1.111,9.218,4.197
Munich,EU,2022,5,6,3.725,2.555,1.456,7.225,3.725
Munich,EU,2023,5,9,3.725,2.555,1.456,7.225,3.725
Munich,EU,2024,5,14,3.725,2.555,1.456,7.225,3.725
Paris,EU,2022,35,6,4.265,3.911,0.35,16.881,4.265
Paris,EU,2023,36,6,4.228,3.862,0.35,16.881,4.228
Paris,EU,2024,35,11,4.379,3.825,0.37,16.881,4.379
Rome,EU,2022,13,6,4.05,2.067,2.682,9.316,4.05
Rome,EU,2023,13,8,4.05,2.067,2.682,9.316,4.05
Rome,EU,2024,13,8,4.05,2.067,2.682,9.316,4.05
Stockholm,EU,2022,18,7,1.359,1.19,0.0,5.186,1.359
Stockholm,EU,2023,17,6,1.441,1.174,0.035,5.186,1.441
Stockholm,EU,2024,15,6,1.545,1.272,0.035,5.186,1.545
Arizona,US,2022,80,75,22.329,33.429,1.485,168.232,22.329
Arizona,US,2023,79,49,22.719,33.519,1.485,168.232,22.719
Arizona,US,2024,83,54,21.56,32.501,0.24,168.232,21.56
California,US,2022,230,53,17.059,17.08,0.426,150.066,17.059
California,US,2023,231,46,16.222,14.74,0.617,115.173,16.222
California,US,2024,227,36,16.526,14.842,0.617,115.173,16.526
Nevada,US,2022,35,16,23.575,38.356,2.435,210.72,23.575
Nevada,US,2023,36,9,22.944,36.226,2.435,210.72,22.944
Nevada,US,2024,36,9,22.944,36.226,2.435,210.72,22.944
NewMexico,US,2022,29,8,27.953,31.289,0.494,113.565,27.953
NewMexico,US,2023,29,4,27.953,31.289,0.494,113.565,27.953
NewMexico,US,2024,30,15,30.935,34.704,0.494,117.434,30.935
Utah,US,2022,31,3,28.713,27.285,1.477,126.694,28.713
Utah,US,2023,30,1,24.249,19.184,1.477,85.315,24.249
Utah,US,2024,34,4,22.62,17.991,1.477,85.315,22.62
